"IP Address", "None"
"Hostname", "Requested machine name"
"List of NTP servers", "Empty List"
"List of DNS servers", "Empty List"
"Routers", "Empty List"
"Static Routes", "None"
"Domain Name", "None"
"Subnet mask", "Derived from IP Address (see service manual)"
"Broadcast address", "Derived from IP Address (see service manual)"
"Default Router", "None"
"Time offset", "Site configurable (from Time zone)"
"MTU", "Network Hardware Dependent"
"Auto-IP permission", "No permission"
