"Timeout", "The Association is aborted using A-ABORT and MPPS / Modality Worklist is marked as failed. The reason is logged and reported to the user."
"Association aborted by the SCP or network layers", "The MPPS / Modality Worklist is marked as failed. The reason is logged and reported to the user."
