"STORAGE-SCU", "SCU", "EX_STORE_SCU", "None"
"STORAGE-SCP", "SCP", "EX_STORE_SCP", "4000"
"QUERY-RETRIEVE-SCP", "SCP", "EX_QUERY_SCP", "5000"
