"Verification", "1.2.840.10008.1.1", "DICOM Implicit VR Little Endian", "1.2.840.10008.1.2", "SCU", "None"
"Storage Commitment Push Model", "1.2.840.10008.1.20.1", "DICOM Implicit VR Little Endian", "1.2.840.10008.1.2", "SCP", "None"
"Storage Commitment Push Model", "1.2.840.10008.1.20.1", "DICOM Explicit VR Little Endian", "1.2.840.10008.1.2.1", "SCP", "None"
