"Media Types", "Restricted to "multipart/related; type=application/dicom+xml" or "application/json""
"Matching Attributes", "Refer Table 4.2.7.1-2"
"Return Attributes", "Refer Table 4.2.7.1-2"
"Limit and Offset supported", "Yes"
"Person Name Matching", "Literal, case insensitive. Refer Section 1b"
